First Name,Last Name,Email,Country,Application Date,Yoe,Seniority,Technology,Code Challenge Score,Technical Interview Score
Todd,Brown,zhangmichael@example.net,Argentina,2021-01-12,11,Junior,Java,8.9,4.0
Lisa,Mercer,zfrancis@example.com,Brazil,2020-05-09,7,Mid,SQL,1.2,8.4
Colleen,Nguyen,wallemma@example.net,Ecuador,2024-09-20,1,Junior,JavaScript,2.3,8.8
Latasha,Christensen,ljensen@example.com,Mexico,2022-11-27,12,Junior,C++,6.5,3.3
Samuel,King,respinoza@example.net,USA,2023-01-21,14,Senior,C++,3.7,1.8
Jordan,Carrillo,donaldstewart@example.org,Brazil,2020-07-23,10,Junior,Python,7.7,7.0
Amy,Wheeler,patrick73@example.com,Ecuador,2020-09-30,8,Senior,C++,5.3,8.1
Tonya,Gonzalez,danielle27@example.net,Colombia,2024-08-31,8,Mid,JavaScript,6.8,3.7
Paul,Martin,guerrerobarbara@example.org,Colombia,2022-07-19,1,Junior,Data Engineering,2.9,5.2
Jeffrey,Phillips,rachel26@example.com,Ecuador,2020-12-12,0,Lead,JavaScript,8.3,8.8
Hannah,Nichols,millertina@example.net,USA,2024-03-20,5,Mid,JavaScript,4.8,7.7
John,Diaz,johnnygomez@example.org,Ecuador,2020-11-04,12,Mid,Python,8.7,3.8
Sara,Randall,colleen42@example.org,Argentina,2022-06-05,11,Mid,JavaScript,1.5,0.8
Matthew,Potter,nmitchell@example.net,Argentina,2024-08-12,6,Junior,Java,7.2,9.9
Angela,Schneider,kelseyneal@example.com,Mexico,2022-06-15,2,Mid,JavaScript,1.9,1.8
Alex,Stevens,parkersandra@example.net,Ecuador,2020-10-04,13,Lead,Java,4.5,1.1
Grace,Rodriguez,sheri70@example.com,USA,2020-05-26,11,Lead,C++,8.9,4.6
Betty,Gallegos,shawn60@example.net,USA,2024-07-09,0,Mid,JavaScript,2.3,2.5
Christopher,Decker,marmstrong@example.org,Argentina,2020-04-04,8,Mid,Python,10.0,6.6
David,Fitzgerald,xschultz@example.org,Colombia,2020-02-16,7,Lead,C++,7.0,4.2
Kevin,Marshall,mary73@example.org,Colombia,2022-08-06,6,Lead,C++,1.0,8.4
Stephen,Key,qfranklin@example.com,Brazil,2021-07-26,9,Senior,Java,6.1,2.5
Rebecca,Donovan,garrettcooke@example.com,Brazil,2020-12-07,10,Junior,Java,6.2,3.2
Sarah,Burgess,kellymartinez@example.com,USA,2024-05-25,4,Mid,SQL,9.0,2.1
April,Wilson,andre00@example.net,Ecuador,2022-05-25,15,Senior,Python,1.8,7.5
Brianna,Lowery,jesse00@example.com,Ecuador,2022-10-31,10,Lead,Data Engineering,7.2,4.8
Elizabeth,Barnes,sarah94@example.net,Mexico,2024-08-08,8,Lead,SQL,5.3,1.7
Daniel,Smith,amyruiz@example.net,Ecuador,2021-08-18,5,Lead,JavaScript,3.4,8.0
Crystal,Jones,andrea02@example.com,Ecuador,2024-07-16,7,Lead,Java,3.7,8.5
James,Dunn,soniavillarreal@example.com,Argentina,2020-09-12,1,Mid,Data Engineering,4.3,2.6
Catherine,Sanders,jerry88@example.org,Mexico,2024-08-12,11,Mid,C++,3.3,2.4
Christopher,Brown,brittany53@example.com,USA,2022-04-27,8,Junior,C++,5.8,4.9
Scott,Hood,mckenziewood@example.com,Ecuador,2020-12-24,11,Lead,JavaScript,4.6,5.8
Kenneth,Torres,eponce@example.net,Mexico,2022-05-08,3,Junior,C++,3.9,4.0
Gregory,Gonzalez,hamiltonbenjamin@example.net,Argentina,2020-06-12,5,Mid,Java,2.9,1.4
Katrina,White,christopher96@example.net,Colombia,2023-04-30,5,Mid,SQL,9.7,3.7
Timothy,Hayden,michaelcampbell@example.org,USA,2022-09-24,5,Junior,Python,7.2,5.6
Shannon,Huff,kendra44@example.net,Colombia,2023-04-10,5,Senior,Java,1.3,0.5
Lee,Jensen,nfoster@example.org,Mexico,2021-06-24,15,Junior,JavaScript,1.7,5.9
Kimberly,Ortiz,srobinson@example.org,Colombia,2020-12-28,10,Mid,Data Engineering,1.6,10.0
Pamela,Fields,mark47@example.net,USA,2023-10-14,2,Senior,Data Engineering,9.6,6.4
Morgan,Gibbs,kristen46@example.net,Mexico,2021-02-05,0,Junior,C++,5.2,9.7
Christopher,Powell,qlynch@example.org,Mexico,2020-04-23,6,Senior,Python,9.2,3.5
Abigail,Johns,parkerfelicia@example.org,Argentina,2024-10-13,3,Lead,Java,6.5,1.3
Robert,Velazquez,ubyrd@example.org,Ecuador,2022-02-16,12,Mid,SQL,0.3,8.1
Cameron,Holmes,mark43@example.org,Argentina,2020-09-12,4,Mid,Data Engineering,0.8,7.8
Jessica,Moody,ronald79@example.net,Ecuador,2022-04-30,1,Mid,Java,1.6,8.1
Colleen,Padilla,sean36@example.org,Argentina,2023-11-19,1,Junior,SQL,6.4,8.3
Jerry,Moore,ubowman@example.com,Argentina,2020-11-03,12,Senior,Java,8.0,3.1
Joshua,Lewis,tduke@example.com,Argentina,2021-08-31,1,Senior,Data Engineering,9.8,8.4
Derrick,Curtis,owalters@example.net,Brazil,2020-02-23,2,Senior,SQL,0.4,7.0
Patricia,Bell,westerin@example.org,Colombia,2021-09-09,3,Mid,Python,1.8,1.1
Michael,Smith,bennettphillip@example.com,USA,2022-02-21,14,Senior,SQL,7.1,5.6
Alexa,Harvey,davismorgan@example.net,Brazil,2024-12-15,13,Mid,SQL,4.3,0.4
Edward,Richardson,adamdavis@example.org,Ecuador,2024-08-27,3,Lead,Java,7.8,8.1
Jessica,Alexander,sbecker@example.com,USA,2024-04-05,4,Lead,Java,3.3,1.8
Matthew,Howard,jwiley@example.org,Brazil,2022-05-15,12,Senior,C++,3.6,9.4
Christian,Soto,kimberlyhill@example.com,USA,2023-01-19,9,Mid,JavaScript,6.2,6.6
Barbara,Nelson,mcdonaldchristian@example.net,Ecuador,2020-11-04,4,Mid,Java,1.1,1.3
Brianna,Smith,sporter@example.net,Mexico,2024-10-23,12,Mid,Java,8.7,10.0
Kyle,Hurst,rodriguezemily@example.org,USA,2021-04-13,6,Lead,SQL,4.3,8.0
Robert,Taylor,sheilagibson@example.net,Colombia,2023-06-13,1,Senior,Java,9.7,2.9
Matthew,Proctor,ylang@example.org,Ecuador,2020-08-05,13,Senior,C++,9.3,6.0
April,Kelley,angela71@example.com,Colombia,2023-04-05,0,Senior,Data Engineering,7.7,8.2
Jennifer,Lewis,wattsapril@example.org,Brazil,2022-10-08,13,Junior,C++,5.2,1.0
Dennis,Elliott,tclark@example.net,Ecuador,2021-02-15,5,Lead,Python,6.0,2.4
Shannon,Holden,townsendyvette@example.org,Colombia,2021-02-03,10,Mid,C++,2.8,7.8
Megan,Taylor,michelenguyen@example.net,USA,2020-07-07,2,Lead,Python,0.3,3.8
Shawn,Medina,vjones@example.com,Argentina,2023-11-30,14,Senior,C++,1.9,8.9
Michael,Vega,santosshawn@example.net,USA,2024-04-12,10,Mid,JavaScript,7.5,6.4
Melanie,Horton,qjohnson@example.org,Argentina,2022-12-09,15,Lead,SQL,2.3,1.9
Joshua,Baldwin,andrew18@example.net,Brazil,2020-01-05,9,Lead,SQL,5.4,0.4
Amber,Lewis,pcampbell@example.org,Brazil,2021-12-27,15,Lead,C++,9.5,10.0
Marcus,Frazier,tray@example.net,Argentina,2024-10-25,15,Lead,Python,3.4,5.9
Ronald,Castillo,mcdonalddanielle@example.org,Brazil,2022-03-13,15,Senior,SQL,1.5,7.3
Bradley,Montgomery,carrolladam@example.org,Brazil,2023-07-20,10,Lead,Java,2.3,7.9
Austin,Mathews,calvin15@example.net,USA,2024-11-16,13,Junior,Java,7.2,2.4
Chelsea,Lee,zgibson@example.net,Ecuador,2022-08-18,9,Lead,JavaScript,9.3,5.0
Erin,Oconnor,karen03@example.net,Mexico,2021-06-03,4,Senior,Python,8.0,1.0
Justin,Turner,tiffanywolfe@example.com,USA,2021-02-15,0,Senior,Java,0.7,1.7
Ashlee,Allen,stacey60@example.com,Argentina,2024-12-26,9,Junior,C++,3.5,6.7
Daniel,Davis,kevin54@example.org,Mexico,2023-11-30,14,Lead,Java,2.7,1.4
Jose,Davis,josepearson@example.net,Brazil,2022-05-04,0,Lead,Java,2.4,9.8
Stacy,Rogers,odominguez@example.net,USA,2023-07-16,1,Senior,Python,2.0,2.4
John,Davis,timothy27@example.net,Colombia,2024-03-28,3,Junior,Data Engineering,3.3,1.0
Darrell,Wiley,mendeztony@example.org,Brazil,2020-10-04,14,Senior,Data Engineering,4.1,4.4
Erin,Sloan,wjames@example.com,Brazil,2023-03-06,10,Junior,JavaScript,1.6,6.2
Robert,Walsh,meganrobinson@example.net,Mexico,2022-12-17,5,Senior,SQL,4.0,1.8
Michelle,James,katherine03@example.net,Ecuador,2023-06-06,14,Mid,SQL,1.6,0.0
Ashley,George,haley88@example.org,USA,2024-02-17,11,Junior,JavaScript,9.7,4.5
Edward,Hicks,ronald93@example.com,Colombia,2022-04-03,15,Senior,JavaScript,3.8,7.7
Kenneth,Jones,camachosamantha@example.net,Brazil,2024-07-14,14,Lead,Python,9.3,6.7
Laura,Harris,coledaniel@example.net,Colombia,2021-03-01,6,Lead,JavaScript,8.1,9.7
Logan,Johnson,cody82@example.com,Colombia,2021-11-09,8,Senior,Data Engineering,8.0,6.1
Kristin,Frost,andreafloyd@example.net,Ecuador,2020-01-11,13,Lead,Java,7.2,9.9
Jason,Smith,william23@example.org,Ecuador,2022-01-10,9,Senior,Data Engineering,1.7,3.0
Karen,Quinn,garrett51@example.net,Mexico,2022-08-17,11,Lead,Data Engineering,8.7,6.5
Tiffany,Moore,philip52@example.net,Argentina,2020-08-22,1,Senior,SQL,0.4,2.8
Katherine,Roberts,garciarachel@example.com,Brazil,2021-10-12,3,Junior,JavaScript,7.7,2.2
Brittney,Christian,sara08@example.net,Brazil,2022-12-05,5,Junior,SQL,4.7,7.1
Kelsey,Harris,karenmartinez@example.net,Ecuador,2021-06-04,12,Junior,Python,3.5,4.0
Nicole,Ramos,harveyemma@example.com,Colombia,2020-11-20,9,Lead,SQL,9.9,10.0
Christopher,Sanchez,dpoole@example.com,Ecuador,2021-12-24,4,Mid,Data Engineering,2.3,7.3
Timothy,Garrett,joseph51@example.net,Brazil,2021-02-28,1,Junior,SQL,8.6,4.5
Elizabeth,Velasquez,whitealicia@example.org,Ecuador,2023-11-10,11,Junior,Data Engineering,8.9,0.1
Jacob,Anderson,snyderjohn@example.org,USA,2024-08-10,5,Senior,SQL,4.5,3.8
Jonathan,Peterson,baldwinthomas@example.net,Colombia,2020-10-28,0,Lead,Java,2.2,7.4
Robert,Dawson,ztran@example.net,Mexico,2024-03-30,6,Senior,Java,4.7,4.2
Stacy,Ramirez,orodgers@example.org,Colombia,2023-07-06,11,Senior,JavaScript,3.3,9.5
William,Wood,robertsherbert@example.org,Ecuador,2020-10-16,2,Mid,Java,10.0,8.8
Jeremy,Davis,fwatson@example.com,Colombia,2022-01-28,7,Junior,SQL,2.5,3.8
Amy,Jones,zacharysanchez@example.net,Argentina,2020-10-29,1,Senior,Java,1.2,2.2
Kimberly,Liu,xlong@example.com,Colombia,2022-05-31,6,Senior,SQL,1.4,7.8
Theresa,White,williammercer@example.com,Brazil,2020-02-20,13,Junior,JavaScript,8.6,7.9
Craig,Rose,kwhite@example.net,USA,2023-12-27,0,Lead,SQL,9.2,6.4
Jessica,Kent,sydneylarson@example.net,Brazil,2023-12-05,3,Lead,Java,3.0,6.8
James,Neal,greersteven@example.net,Ecuador,2022-10-03,6,Senior,JavaScript,9.0,1.7
Eric,Fitzgerald,simpsonlisa@example.org,Brazil,2023-02-12,5,Junior,SQL,9.7,6.6
Kimberly,Bell,claudiaweeks@example.org,Brazil,2021-03-21,10,Mid,JavaScript,8.9,0.4
Daniel,Waters,collinssamantha@example.org,Brazil,2023-10-07,9,Senior,Data Engineering,1.8,0.4
Susan,Rollins,tonyamcmillan@example.com,Mexico,2022-10-26,8,Junior,Python,3.1,9.6
Nicholas,Miller,walshshaun@example.com,Colombia,2021-04-22,4,Lead,Java,3.6,7.6
Suzanne,Norton,xho@example.net,Argentina,2022-02-21,14,Senior,C++,9.4,9.5
Valerie,Simmons,sandovalchristopher@example.com,Argentina,2022-04-29,7,Lead,JavaScript,7.3,1.6
Sarah,Jones,gina46@example.net,Brazil,2021-04-01,13,Junior,SQL,3.6,7.9
Barbara,Smith,sbriggs@example.net,Mexico,2020-10-21,11,Senior,C++,7.0,8.0
Brandon,Flores,wsanchez@example.net,Mexico,2024-05-26,11,Senior,Data Engineering,3.0,9.2
Carlos,Berry,daniel25@example.org,Colombia,2022-03-27,13,Senior,Python,3.7,3.5
Jeffrey,Baker,christine42@example.org,USA,2020-11-16,12,Lead,Data Engineering,10.0,4.1
Jennifer,Torres,campbellcameron@example.net,Argentina,2021-05-17,2,Senior,JavaScript,6.3,10.0
Guy,Moody,tiffanysmith@example.org,Mexico,2023-08-15,8,Lead,Data Engineering,4.9,8.3
Darlene,Stout,erik80@example.net,Colombia,2021-04-16,14,Lead,Java,7.3,7.6
Ann,Shaw,toddguerrero@example.com,USA,2022-06-12,5,Junior,SQL,3.4,0.5
Denise,Wilson,jonestheresa@example.org,USA,2020-06-17,8,Senior,Data Engineering,1.2,7.0
Andrea,Vaughan,robertmartinez@example.com,Brazil,2021-03-18,4,Senior,SQL,8.3,0.5
Kent,Atkins,halelindsey@example.com,USA,2021-05-08,12,Senior,JavaScript,3.8,4.9
Stephanie,Martinez,alexanderjoshua@example.net,Argentina,2023-01-02,2,Junior,Python,2.5,4.6
James,Clark,amanda91@example.com,Argentina,2021-05-05,15,Mid,SQL,2.9,0.1
Benjamin,Carey,myoung@example.net,USA,2022-04-10,4,Lead,Data Engineering,4.7,7.2
Gina,Simmons,jose67@example.net,Ecuador,2021-07-27,6,Lead,Data Engineering,4.8,9.4
Margaret,Clark,loribautista@example.org,Colombia,2022-12-17,10,Junior,C++,2.2,2.0
Tyler,Parker,hancocksharon@example.net,Brazil,2022-05-28,14,Lead,JavaScript,9.7,9.0
Jacob,Phillips,dwarren@example.org,USA,2024-10-11,1,Senior,Java,7.9,9.7
Jaime,Griffith,foleyjuan@example.com,Ecuador,2024-07-30,3,Mid,JavaScript,6.4,3.6
Curtis,Harris,egrant@example.org,Argentina,2024-03-12,5,Senior,SQL,3.5,3.7
Mark,Kirby,deanna55@example.net,Ecuador,2022-04-17,0,Junior,SQL,9.7,6.3
Thomas,Marks,fprice@example.net,Argentina,2022-05-06,11,Mid,Python,6.6,9.2
Brian,Clark,toddmiller@example.net,Ecuador,2020-11-15,0,Lead,SQL,4.3,4.8
Christine,Carrillo,tonyathompson@example.net,Argentina,2024-08-21,2,Mid,Python,2.0,2.6
Jasmine,Gomez,dyoung@example.com,Argentina,2020-09-13,9,Senior,Python,9.6,7.7
Gina,Clark,traceyjohnson@example.org,Mexico,2023-01-21,10,Mid,Java,8.3,5.1
Megan,Mooney,alvarezallen@example.com,Argentina,2024-08-28,12,Mid,JavaScript,1.6,9.3
Laura,Buchanan,thomasmiguel@example.net,Colombia,2022-07-03,9,Lead,Java,7.9,2.5
Tyler,Armstrong,john71@example.org,Brazil,2024-05-03,9,Mid,Python,4.9,6.5
James,Jimenez,eho@example.net,Ecuador,2021-01-15,4,Mid,C++,0.4,6.6
Craig,George,pennydavis@example.net,Ecuador,2022-01-06,9,Lead,Java,7.0,2.6
Terrence,Warren,ajordan@example.com,Mexico,2024-11-11,9,Junior,SQL,6.3,9.9
Monica,Morales,pamela98@example.org,Colombia,2024-05-17,8,Lead,SQL,6.6,3.9
Breanna,Jones,pchung@example.com,Brazil,2024-06-05,1,Mid,Python,6.6,4.4
Mark,Brooks,sarahjohnson@example.org,Mexico,2022-07-17,0,Lead,Data Engineering,3.9,3.2
Dustin,Johnston,mooreandrew@example.net,Argentina,2023-11-20,13,Junior,Data Engineering,1.8,1.2
Bianca,Taylor,taylorsara@example.org,Colombia,2020-01-21,11,Mid,Python,4.1,5.8
Anthony,Wilson,watsonbrandon@example.com,Mexico,2023-07-25,11,Mid,Java,0.3,6.3
